author,content,number_of_likes,number_of_shares
instagram,"Fog as far as the eye can see #TheWeekOnInstagram
https://t.co/CLsYaztrRB",597,99
instagram,.@KadirNelson’s tribute to Dr. Martin Luther King Jr. #MLKDay https://t.co/duzl7bHRTq,761,156
instagram,"A friendship full of fellowship, respect and trust on a farm #TheWeekOnInstagram
https://t.co/37OSgPvHXp",771,134
instagram,Adventures around the world with the very cuddly @shuthebear https://t.co/eZ9ek69vN2,658,111
instagram,A perfectly timed underwater encounter #TheWeekOnInstagram 🐠 https://t.co/ZjYx71rBKQ,707,133
instagram,"The Week on Instagram | 267
https://t.co/z0ONPTiO7V",673,123
instagram,"Ice, ice baby #BoomerangOfTheWeek
https://t.co/FzTJNegkfK",657,124
instagram,"Happening NOW: artist @tom_sachs attempts his final mission to Europa. 
Watch LIVE 🚀 https://t.co/lFHo7fRrBB",668,113
instagram,"Participate in this weekend’s hashtag project: #WHPfollowthelight
https://t.co/XIxEGk6P4p https://t.co/2wT3BDZ4FV",759,167
instagram,Watch our Instagram story to see @edsheeran perform for lucky fans in NYC https://t.co/haoQBgkoH8,707,136
instagram,“I’m inspired by my life experiences and everything around me — the real world.” —Artur Bordalo,856,272
instagram,"One man’s trash = another man’s treasure. (This couldn't be truer for artist Artur Bordalo.)
https://t.co/qC2bVvwRtN",747,180
instagram,"“Flowers are an indispensable way of putting coziness, atmosphere and beauty into my pictures.” —Marina Schammler 💐 https://t.co/i846KGqZbj",706,115
instagram,A Parisian passerby's march mirrors a Champs-Élysées statue. #WHPimitation https://t.co/T8SVFxZimu,530,110
instagram,"A tiny human encounters a friendly snow creature #TheWeekOnInstagram
https://t.co/hDhGV6aoeL",659,121
instagram,,0,0
instagram,Art imitates life (and life imitates art) in Alexandra Cameron’s self-portrait https://t.co/DQ3N0nSl4r,552,96
instagram,“Taking weird things and making them cute is a cool way to look at the world.” —Becky Margraf https://t.co/GePrN7lBu7,604,116
instagram,A pocket full of happy! Check out Becky Margraf’s squares https://t.co/Ccm7RYIQzF,542,104
instagram,“Get out there and enjoy what the world has to offer.” —freelance photographer @itchban https://t.co/cWf52JdseL,612,129
instagram,A (literally) handmade cockatoo for #WHPimitation https://t.co/sMLF01eYkf,621,109
instagram,"Transforming into tigers, from head to toe #WHPimitation https://t.co/qMkof950cc",608,102
instagram,"A bright green reprieve in São Paulo #TheWeekOnInstagram
https://t.co/JZNEhkRH9w",490,88
instagram,Leaping into the new year — complete with a mid-air tail wiggle #WeeklyFluff https://t.co/hVZXO31LA6,542,123
instagram,Check out our story from the @CFBPlayoff with @ClemsonFB vs @AlabamaFTBL. 🐯🐘 https://t.co/wvW5S0aoMr,637,116
instagram,"A gray feline meets its handcrafted avatar #WHPimitation
https://t.co/Kg1j5PJPOe",552,109
instagram,"Striped shirts and braids seem to run in this family #WHPimitation
https://t.co/1LNnZxyhy7",594,102
instagram,"Featured submissions from this weekend’s hashtag project: #WHPimitation
https://t.co/2ide3BNjZf https://t.co/y4xEQnVzDw",621,121
instagram,"A bird who reminds us to dream big #TheWeekOnInstagram
https://t.co/ogqDqrucjs",512,107
instagram,"Krista Barmer tells stories through textiles 
https://t.co/vcPQRCkaOc",583,113
instagram,Tune into our Instagram story — we’re celebrating the #GoldenGlobes with @SofiaVergara! 📽📺 https://t.co/xqgXziJlUO,688,137
instagram,"A hidden heart in Thessaloniki, Greece #TheWeekOnInstagram
https://t.co/SqUUzxFBV1",546,112
instagram,“Once an idea for a shot comes into my head I won’t stop chasing it.” —photographer Alex Spurway https://t.co/6iaattBrZV,868,198
instagram,"When life hands you lemons, @AskTSA says it’s OK to take them on a plane 🍋
https://t.co/kevgXFOj6t",794,156
instagram,"Heart eyes 😍for these art eyes (via @TeenVogue) 
https://t.co/27iY9PfmEv",1408,275
instagram,"Somewhere over the rainbow ... is a chicken practicing yoga #TheWeekOnInstagram
https://t.co/x2QPHPmMyt",659,142
instagram,"The Week on Instagram | 266
https://t.co/b42IKE47Gw https://t.co/I9C2xZcz8c",680,134
instagram,"Our #BoomerangOfTheWeek = extreme 🥄🥄🥄 
https://t.co/vTVHeN6hNd",540,98
